f_center_hz,p_db,bw_hz_est,snr_db_est
-184750.0,-59.44493103027344,1375.0,33.21794128417969
-163500.0,-59.70096969604492,1375.0,32.9619026184082
11500.0,-59.122657775878906,375.0,33.54021453857422
12250.0,-55.43569564819336,375.0,37.227176666259766
62125.0,-77.3600082397461,375.0,15.302864074707031
73250.0,-72.36540985107422,375.0,20.297462463378906
112250.0,-78.93013763427734,375.0,13.732734680175781
173750.0,-60.09426498413086,375.0,32.568607330322266
199500.0,-57.707008361816406,375.0,34.95586395263672
200500.0,-54.85881042480469,375.0,37.80406188964844
